AVLsorted,,,,,AVLunsorted,,,,,BST,,,
Search,,,,,,,,,,,,,
1,2,3,,,1,2,3,,,1,2,3,
3,3,3,3,,3,3,3,3,,3,3,3,2
14,12,14,13.3333333333,,11,11,10,10.6666666667,,14,14,15,14.3333333333
16,14,17,15.6666666667,,13,12,12,12.3333333333,,16,16,18,16.6666666667
16,15,16,15.6666666667,,14,12,14,13.3333333333,,17,16,17,16.6666666667
19,17,19,18.3333333333,,15,13,14,14,,20,18,20,19.3333333333
19,17,19,18.3333333333,,15,14,15,14.6666666667,,20,18,20,19.3333333333
19,17,19,18.3333333333,,16,14,15,15,,20,19,20,19.6666666667
21,19,21,20.3333333333,,17,15,16,16,,22,21,22,21.6666666667
21,19,20,20,,17,15,16,16,,22,21,22,21.6666666667
21,19,20,20,,17,16,16,16.3333333333,,23,21,21,21.6666666667
21,20,20,20.3333333333,,18,16,16,16.6666666667,,22,21,20,21
21,20,19,20,,18,16,17,17,,23,21,20,21.3333333333
21,20,19,20,,18,16,17,17,,22,22,21,21.6666666667
23,21,20,21.3333333333,,18,16,17,17,,25,24,21,23.3333333333
23,20,20,21,,18,17,17,17.3333333333,,24,22,23,23
22,20,20,20.6666666667,,18,17,17,17.3333333333,,23,22,22,22.3333333333
22,19,20,20.3333333333,,18,17,17,17.3333333333,,23,22,23,22.6666666667
22,19,20,20.3333333333,,18,17,17,17.3333333333,,22,22,23,22.3333333333
21,18,20,19.6666666667,,18,17,17,17.3333333333,,22,22,23,22.3333333333
21,18,20,19.6666666667,,18,17,17,17.3333333333,,23,21,23,22.3333333333
20,17,20,19,,19,17,17,17.6666666667,,20,21,22,21
20,18,20,19.3333333333,,18,17,18,17.6666666667,,20,21,21,20.6666666667
20,17,19,18.6666666667,,19,17,18,18,,21,21,22,21.3333333333
20,17,19,18.6666666667,,19,17,19,18.3333333333,,21,21,22,21.3333333333
19,18,19,18.6666666667,,19,17,19,18.3333333333,,20,21,20,20.3333333333
19,18,19,18.6666666667,,19,17,19,18.3333333333,,19,21,19,19.6666666667
Insert,,,,,,,,,,,,,
1,2,3,,,1,2,3,,,1,2,3,
2,2,2,2,,2,2,2,2,,3,3,3,3
116,116,116,116,,107,107,107,107,,23,23,23,23
265,265,265,265,,247,247,247,247,,43,43,43,43
425,425,425,425,,403,403,403,403,,63,63,63,63
602,602,602,602,,573,573,573,573,,83,83,83,83
782,782,782,782,,747,747,747,747,,103,103,103,103
962,962,962,962,,919,919,919,919,,123,123,123,123
1155,1155,1155,1155,,1104,1104,1104,1104,,143,143,143,143
1355,1355,1355,1355,,1292,1292,1292,1292,,163,163,163,163
1555,1555,1555,1555,,1479,1479,1479,1479,,183,183,183,183
1755,1755,1755,1755,,1673,1673,1673,1673,,203,203,203,203
1955,1955,1955,1955,,1874,1874,1874,1874,,223,223,223,223
2155,2155,2155,2155,,2076,2076,2076,2076,,243,243,243,243
2360,2360,2360,2360,,2273,2273,2273,2273,,263,263,263,263
2580,2580,2580,2580,,2475,2475,2475,2475,,283,283,283,283
2800,2800,2800,2800,,2680,2680,2680,2680,,303,303,303,303
3020,3020,3020,3020,,2893,2893,2893,2893,,323,323,323,323
3240,3240,3240,3240,,3103,3103,3103,3103,,343,343,343,343
3460,3460,3460,3460,,3311,3311,3311,3311,,363,363,363,363
3680,3680,3680,3680,,3526,3526,3526,3526,,383,383,383,383
3900,3900,3900,3900,,3746,3746,3746,3746,,403,403,403,403
4120,4120,4120,4120,,3964,3964,3964,3964,,423,423,423,423
4340,4340,4340,4340,,4180,4180,4180,4180,,443,443,443,443
4560,4560,4560,4560,,4398,4398,4398,4398,,463,463,463,463
4780,4780,4780,4780,,4619,4619,4619,4619,,483,483,483,483
4989,4989,4989,4989,,4831,4831,4831,4831,,502,502,502,502
